yorum,puan,product_id,product_name,source_url,cleaned_yorum,insight_category,patterns_context
Neden 1 yıldız Zile basma zahmetinde bulunmayıp apartmana öylece bırakıp gidemezsiniz tesadüf eseri kapıyı açıyorum öylece bırakıp gitmiş kargocu evdeyim ya zile basmak bu kadarma zor,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,neden yıldız zile basma zahmetinde bulunmayıp apartmana öylece bırakıp gidemezsiniz tesadüf eseri kapıyı açıyorum öylece bırakıp gitmiş kargocu evdeyim ya zile basmak kadarma zor,Genel Deneyim / Diğer,
Keki pişirmiyor. Üstelik kendi kek  ayarında olmasına rağmen üstü yanık içi sıvı şekilde kalıyor. İki defa denedim. Kesinlikle tavsiye etmiyorum.,1,HBC00007R1ARZ,XiaomiMi Air Fryer 6L Fritöz - Siyah Sıcak Hava Fritözü Pişirme Buz Çözme Fermantasyon Dokunmatik,https://www.hepsiburada.com/xiaomi-mi-air-fryer-6l-fritoz-siyah-sicak-hava-fritozu-pisirme-buz-cozme-fermantasyon-dokunmatik-pm-HBC00007R1ARZ,keki pişirmiyor üstelik kendi kek ayarında olmasına rağmen üstü yanık içi sıvı şekilde kalıyor iki defa denedim kesinlikle tavsiye etmiyorum,Doğrudan Memnuniyetsizlik / İade,
Çok kötü bir ürün dümdüz bı patates bile kizartamiyor çiğ kalıyor asla almayın,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,çok kötü ürün dümdüz bı patates bile kizartamiyor çiğ kalıyor asla almayın,Genel Deneyim / Diğer,
Ürün kaçak akım sigortasını attırıyor,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,ürün kaçak akım sigortasını attırıyor,Genel Deneyim / Diğer,
"Sallama özelliği filan yok koyulan herşeyin sadece üstünü pişirip altına ızgara bile koysam çevirmeden pisirmedi köfteyi bile çevirerek pişirdim  Açma kapatma özelliği çalışmıyor sadece prizi çekip kapatabiliyorsun, kısacası iade ediyorum 3000 lirayı çöpe atamam 
Ayrıca kendi kutusu ile geldi ve üzerinde hiçbir koruyucu ambalaj yoktu",1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,sallama özelliği filan yok koyulan herşeyin sadece üstünü pişirip altına ızgara bile koysam çevirmeden pisirmedi köfteyi bile çevirerek pişirdim açma kapatma özelliği çalışmıyor sadece prizi çekip kapatabiliyorsun kısacası iade ediyorum lirayı çöpe atamam ayrıca kendi kutusu geldi üzerinde hiçbir koruyucu ambalaj yoktu,Genel Deneyim / Diğer,
10 15 dk da patates yaptığı yalan yağsız güzel yemekler oluyor fakat süre çok uzun sürüyor,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,dk patates yaptığı yalan yağsız güzel yemekler oluyor fakat süre çok uzun sürüyor,Genel Deneyim / Diğer,
Alt kısımdan pisirmiyor ve pişirme süresi çok uzun hiç memnun kalmadım iade istiyorum,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,alt kısımdan pisirmiyor pişirme süresi çok uzun hiç memnun kalmadım iade istiyorum,Genel Deneyim / Diğer,
Üstünü fişiriyor altını pişirmiyor yani cok uğraştırıyor,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,üstünü fişiriyor altını pişirmiyor yani cok uğraştırıyor,Genel Deneyim / Diğer,
Hiç beğenmedim pışirme süresi cok uzun altı pişmiyor,1,Bilinmiyor,"NeutronSmart Air Fryer Pro 7,3 L Tek Hazneli Yağsız Fritöz – Çıkarılabilir Kapaklı, Enerji Tasarruflu ve Kolay Temizlenir",https://www.hepsiburada.com/neutron-smart-air-fryer-pro-7-3-l-tek-hazneli-yagsiz-fritoz-cikarilabilir-kapakli-enerji-tasarruflu-ve-kolay-temizlenir-p-HBCV000049EHA2?magaza=Whirtz%20T%C3%BCrkiye,hiç beğenmedim pışirme süresi cok uzun altı pişmiyor,Doğrudan Memnuniyetsizlik / İade,
"M45 sipariş ettim M40 modeli göndermişler. Gerçekten inanılır gibi değil.. internetten alış verişe soğutmak mı amacınız hiç anlamış değilim.. yine bekliyoruz, konu değerlendirilecek, doğru ürün gelecek?? Bekliyoruz!!",1,Bilinmiyor,YuiM45 8 Litre (4+4) Seramik Çift Hazneli Smart Airfryer Fritöz Siyah,https://www.hepsiburada.com/yui-m45-8-litre-4-4-seramik-cift-hazneli-smart-airfryer-fritoz-siyah-p-HBCV00004MJGY6?magaza=MarkaDepo,m sipariş ettim m modeli göndermişler gerçekten inanılır değil internetten alış verişe soğutmak amacınız hiç anlamış değilim yine bekliyoruz konu değerlendirilecek doğru ürün gelecek bekliyoruz,Genel Deneyim / Diğer,
Yanlış ürün göndermişler almadan önce satıcıyı araştırın,1,Bilinmiyor,YuiM45 8 Litre (4+4) Seramik Çift Hazneli Smart Airfryer Fritöz Siyah,https://www.hepsiburada.com/yui-m45-8-litre-4-4-seramik-cift-hazneli-smart-airfryer-fritoz-siyah-p-HBCV00004MJGY6?magaza=MarkaDepo,yanlış ürün göndermişler almadan önce satıcıyı araştırın,Hizmet/Paketleme Şikayeti,
Ürün kırık geldi,1,Bilinmiyor,"Wiami12L Yağsız Hava Fritözü – Tek Hazneli, LED Ekranlı, Mekanik Kontrollü Sağlıklı ve Pratik Pişirme Cihazı",https://www.hepsiburada.com/wiami-12l-yagsiz-hava-fritozu-tek-hazneli-led-ekranli-mekanik-kontrollu-saglikli-ve-pratik-pisirme-cihazi-p-HBCV00003MS94G?magaza=MarkaDepo,ürün kırık geldi,Genel Deneyim / Diğer,
"Ben aldığımda daha pahalıydı fiatı düşmüş.Son ürün diye alıyorsunuz,değilmiş meğer.=(",1,Bilinmiyor,"Wiami12L Yağsız Hava Fritözü – Tek Hazneli, LED Ekranlı, Mekanik Kontrollü Sağlıklı ve Pratik Pişirme Cihazı",https://www.hepsiburada.com/wiami-12l-yagsiz-hava-fritozu-tek-hazneli-led-ekranli-mekanik-kontrollu-saglikli-ve-pratik-pisirme-cihazi-p-HBCV00003MS94G?magaza=MarkaDepo,aldığımda daha pahalıydı fiatı düşmüş son ürün diye alıyorsunuz değilmiş meğer,Genel Deneyim / Diğer,
